date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:01	5544/5544	---M--	200	added ('OK')	text/html	etag:%2215a8-557d9c05deaeb%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page06.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page06.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:02	3052/3052	---M--	200	added ('OK')	text/html	etag:%22bec-557d9c06103e4%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page06a.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page06a.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:02	4806/4806	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:02%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab10/	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab10/index.html	(from http://web.cs.iastate.edu/~cs227/labs/)
21:09:02	2476/2476	---M--	200	added ('OK')	text/html	etag:%229ac-557d9c0657884%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page07.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page07.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:02	3769/3769	---M--	200	added ('OK')	text/html	etag:%22eb9-557d9c06804dc%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page08.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page08.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:03	3855/3855	---M--	200	added ('OK')	text/html	etag:%22f0f-557d9c06c90ed%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page09.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page09.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:03	3197/3197	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:03%20GMT	http://web.cs.iastate.edu/~cs227/labs/?C=N;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/indexb70a.html	(from http://web.cs.iastate.edu/~cs227/labs/?C=N;O=D)
21:09:03	2012/2012	---M--	200	added ('OK')	text/html	etag:%227dc-557d9c06ebb9d%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page10.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page10.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:03	3942/3942	---M--	200	added ('OK')	text/html	etag:%22f66-557d9c0740afe%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page11.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page11.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:04	4657/4657	---M--	200	added ('OK')	text/html	etag:%221231-557d9c0766876%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page12.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page12.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:04	3197/3197	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:04%20GMT	http://web.cs.iastate.edu/~cs227/labs/?C=M;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/index72c9.html	(from http://web.cs.iastate.edu/~cs227/labs/?C=M;O=A)
